Random Variable X: the roll with most chances to win is the greatest
Combination	Occurrences		0	1	2

1-1:		1		0		0		1		
2-1:		3		0		0.0279		0.9721		
3-1:		3		0		0.1141		0.8859		
4-1:		3		0		0.2508		0.7492		
5-1:		3		0		0.4347		0.5653		
6-1:		3		0		0.6966		0.3034		
2-2:		4		0.0293		0.2734		0.6973		
3-2:		9		0.0853		0.2523		0.6624		
3-3:		7		0.1131		0.4386		0.4483		
4-2:		9		0.1419		0.2793		0.5788		
5-2:		9		0.1971		0.3623		0.4406		
4-3:		15		0.2249		0.3551		0.42		
4-4:		10		0.2493		0.5074		0.2433		
6-2:		9		0.2523		0.4933		0.2544		
5-3:		15		0.3359		0.3288		0.3353		
5-4:		21		0.4145		0.3604		0.2251		
6-3:		15		0.4356		0.3597		0.2047		
5-5:		13		0.4393		0.4516		0.1091		
6-4:		21		0.5792		0.2807		0.1401		
6-5:		27		0.665		0.2538		0.0812		
6-6:		16		0.694		0.2794		0.0266		
