1-1:		0	0	1	
2-1:		0	0.0279	0.9721	
3-1:		0	0.11	0.89	
4-1:		0	0.2587	0.7413	
2-2:		0.0296	0.2755	0.6949	
3-2:		0.082	0.2519	0.6661	
4-2:		0.1398	0.2806	0.5796	
5-1:		0	0.4331	0.5669	
5-2:		0.1938	0.3602	0.446	
3-3:		0.1159	0.4393	0.4448	
4-3:		0.2206	0.3566	0.4228	
5-3:		0.3443	0.3277	0.328	
6-1:		0	0.6923	0.3077	
6-2:		0.2438	0.5021	0.2541	
4-4:		0.2544	0.4971	0.2485	
5-4:		0.419	0.359	0.222	
6-3:		0.4416	0.3578	0.2006	
6-4:		0.5841	0.2764	0.1395	
5-5:		0.4448	0.4485	0.1067	
6-5:		0.6757	0.2437	0.0806	
6-6:		0.7002	0.2715	0.0283	
